directory,category,direct_files,direct_bytes,direct_tracked,protected_files,disposition
.qoder/commands,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.qoder/commands/opsx,configuration-or-agent,4,20779,4,0,review source versus generated and local; no bulk add
.qoder/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.qoder/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.qoder/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.qoder/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.qoder/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.qoder/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.qoder/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.qoder/skills/openspec-apply-change,configuration-or-agent,1,4774,1,0,review source versus generated and local; no bulk add
.qoder/skills/openspec-archive-change,configuration-or-agent,1,4157,1,0,review source versus generated and local; no bulk add
.qoder/skills/openspec-explore,configuration-or-agent,1,10738,1,0,review source versus generated and local; no bulk add
.qoder/skills/openspec-propose,configuration-or-agent,1,4646,1,0,review source versus generated and local; no bulk add
.qwen,configuration-or-agent,1,174,1,0,review source versus generated and local; no bulk add
.qwen/commands,configuration-or-agent,4,20499,4,0,review source versus generated and local; no bulk add
.qwen/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.qwen/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.qwen/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.qwen/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.qwen/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.qwen/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.qwen/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.qwen/skills/openspec-apply-change,configuration-or-agent,1,4774,1,0,review source versus generated and local; no bulk add
.qwen/skills/openspec-archive-change,configuration-or-agent,1,4157,1,0,review source versus generated and local; no bulk add
.qwen/skills/openspec-explore,configuration-or-agent,1,10738,1,0,review source versus generated and local; no bulk add
.qwen/skills/openspec-propose,configuration-or-agent,1,4646,1,0,review source versus generated and local; no bulk add
.semgrep,configuration-or-agent,1,3410,1,0,review source versus generated and local; no bulk add
.trae,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.trae/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.trae/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.trae/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.trae/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.trae/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.trae/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.trae/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.trae/skills/openspec-apply-change,configuration-or-agent,1,4774,1,0,review source versus generated and local; no bulk add
.trae/skills/openspec-archive-change,configuration-or-agent,1,4157,1,0,review source versus generated and local; no bulk add
.trae/skills/openspec-explore,configuration-or-agent,1,10738,1,0,review source versus generated and local; no bulk add
.trae/skills/openspec-propose,configuration-or-agent,1,4646,1,0,review source versus generated and local; no bulk add
.vscode,configuration-or-agent,1,197,1,0,review source versus generated and local; no bulk add
.windsurf,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.windsurf/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.windsurf/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.windsurf/skills/openspec-apply-change,configuration-or-agent,1,4774,1,0,review source versus generated and local; no bulk add
.windsurf/skills/openspec-archive-change,configuration-or-agent,1,4157,1,0,review source versus generated and local; no bulk add
.windsurf/skills/openspec-explore,configuration-or-agent,1,10738,1,0,review source versus generated and local; no bulk add
.windsurf/skills/openspec-propose,configuration-or-agent,1,4646,1,0,review source versus generated and local; no bulk add
.windsurf/workflows,configuration-or-agent,4,20789,4,0,review source versus generated and local; no bulk add
android,product-or-platform,13,30702,7,1,retain; refactor by domain after tests
android/.settings,product-or-platform,1,1278,1,0,retain; refactor by domain after tests
android/app,product-or-platform,4,6735,4,0,retain; refactor by domain after tests
android/app/.settings,product-or-platform,1,58,1,0,retain; refactor by domain after tests
android/app/src,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/debug,product-or-platform,1,385,1,0,retain; refactor by domain after tests
android/app/src/main,product-or-platform,1,6083,1,0,retain; refactor by domain after tests
android/app/src/main/kotlin,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/kotlin/com,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/kotlin/com/maripepa,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/kotlin/com/maripepa/gmp_mobilidad,product-or-platform,1,133,1,0,retain; refactor by domain after tests
android/app/src/main/play,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/play/release-notes,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/play/release-notes/es-ES,product-or-platform,1,356,1,0,retain; refactor by domain after tests
android/app/src/main/res,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/app/src/main/res/drawable,product-or-platform,1,446,1,0,retain; refactor by domain after tests
android/app/src/main/res/drawable-v21,product-or-platform,1,450,1,0,retain; refactor by domain after tests
android/app/src/main/res/mipmap-hdpi,product-or-platform,2,3564,2,0,retain; refactor by domain after tests
android/app/src/main/res/mipmap-mdpi,product-or-platform,2,2160,2,0,retain; refactor by domain after tests
android/app/src/main/res/mipmap-xhdpi,product-or-platform,2,5205,2,0,retain; refactor by domain after tests
android/app/src/main/res/mipmap-xxhdpi,product-or-platform,2,9041,2,0,retain; refactor by domain after tests
android/app/src/main/res/mipmap-xxxhdpi,product-or-platform,2,13574,2,0,retain; refactor by domain after tests
android/app/src/main/res/values,product-or-platform,1,1014,1,0,retain; refactor by domain after tests
android/app/src/main/res/values-night,product-or-platform,1,1013,1,0,retain; refactor by domain after tests
android/app/src/main/res/xml,product-or-platform,1,508,1,0,retain; refactor by domain after tests
android/app/src/profile,product-or-platform,1,385,1,0,retain; refactor by domain after tests
android/fastlane,product-or-platform,2,1475,2,0,retain; refactor by domain after tests
android/gradle,product-or-platform,0,0,0,0,retain; refactor by domain after tests
android/gradle/wrapper,product-or-platform,2,53844,1,0,retain; refactor by domain after tests
assets,product-or-platform,0,0,0,0,retain; refactor by domain after tests
assets/branding,product-or-platform,1,409777,1,0,retain; refactor by domain after tests
assets/icon,product-or-platform,1,228032,1,0,retain; refactor by domain after tests
assets/load_planner,product-or-platform,3,46179,3,0,retain; refactor by domain after tests
assets/load_planner/lib,product-or-platform,6,2753690,6,0,retain; refactor by domain after tests
assets/rutero_map,product-or-platform,1,7509,1,0,retain; refactor by domain after tests
backend,product-or-platform,41,81003455,18,3,retain; refactor by domain after tests
backend/app,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/app/services,product-or-platform,3,64229,3,0,retain; refactor by domain after tests
backend/assets,product-or-platform,1,409777,1,0,retain; refactor by domain after tests
backend/assets/branding,product-or-platform,1,409777,1,0,retain; refactor by domain after tests
backend/audit,product-or-platform,4,12933,4,0,retain; refactor by domain after tests
backend/audit/scripts,product-or-platform,4,67844,4,0,retain; refactor by domain after tests
backend/config,product-or-platform,9,82105,9,0,retain; refactor by domain after tests
backend/docs,product-or-platform,3,33538,3,0,retain; refactor by domain after tests
backend/kpi,product-or-platform,8,50969,8,0,retain; refactor by domain after tests
backend/kpi/config,product-or-platform,1,6731,1,0,retain; refactor by domain after tests
backend/kpi/csv_samples,product-or-platform,7,9428,7,0,retain; refactor by domain after tests
backend/kpi/migrations,product-or-platform,2,3579,2,0,retain; refactor by domain after tests
backend/kpi/services,product-or-platform,9,85357,9,0,retain; refactor by domain after tests
backend/kpi/__tests__,product-or-platform,2,11904,2,0,retain; refactor by domain after tests
backend/lib,product-or-platform,1,2759,1,0,retain; refactor by domain after tests
backend/middleware,product-or-platform,14,184079,14,0,retain; refactor by domain after tests
backend/migrations,product-or-platform,9,42251,9,0,retain; refactor by domain after tests
backend/optional,product-or-platform,1,16172,1,0,retain; refactor by domain after tests
backend/perf,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/perf/k6,product-or-platform,2,6423,2,0,retain; refactor by domain after tests
backend/repositories,product-or-platform,13,502805,13,0,retain; refactor by domain after tests
backend/routes,product-or-platform,35,1306242,35,0,retain; refactor by domain after tests
backend/scripts,product-or-platform,260,1890718,180,0,retain; refactor by domain after tests
backend/scripts/sql,product-or-platform,30,266461,30,0,retain; refactor by domain after tests
backend/scripts/sql/migrations,product-or-platform,20,140805,20,0,retain; refactor by domain after tests
backend/scripts/validation,product-or-platform,1,16238,1,0,retain; refactor by domain after tests
backend/services,product-or-platform,64,1020463,64,0,retain; refactor by domain after tests
backend/services/ml,product-or-platform,1,13491,1,0,retain; refactor by domain after tests
backend/services/pedidos,product-or-platform,7,323635,7,0,retain; refactor by domain after tests
backend/sql,product-or-platform,2,5299,2,0,retain; refactor by domain after tests
backend/src,product-or-platform,3,21175,3,0,retain; refactor by domain after tests
backend/src/chatbot,product-or-platform,9,316014,9,0,retain; refactor by domain after tests
backend/src/config,product-or-platform,4,25068,4,0,retain; refactor by domain after tests
backend/src/controllers,product-or-platform,8,31542,8,0,retain; refactor by domain after tests
backend/src/core,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/src/core/application,product-or-platform,1,245,1,0,retain; refactor by domain after tests
backend/src/core/domain,product-or-platform,3,1825,3,0,retain; refactor by domain after tests
backend/src/core/infrastructure,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/src/core/infrastructure/cache,product-or-platform,5,35739,5,0,retain; refactor by domain after tests
backend/src/core/infrastructure/database,product-or-platform,2,5875,2,0,retain; refactor by domain after tests
backend/src/core/infrastructure/security,product-or-platform,6,36727,6,0,retain; refactor by domain after tests
backend/src/cron,product-or-platform,2,11815,2,0,retain; refactor by domain after tests
backend/src/errors,product-or-platform,1,2185,1,0,retain; refactor by domain after tests
backend/src/middleware,product-or-platform,6,34807,6,0,retain; refactor by domain after tests
backend/src/middlewares,product-or-platform,1,4815,1,0,retain; refactor by domain after tests
backend/src/models,product-or-platform,1,1003,1,0,retain; refactor by domain after tests
backend/src/modules,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/src/modules/analytics,product-or-platform,1,787,1,0,retain; refactor by domain after tests
backend/src/modules/analytics/application,product-or-platform,3,6998,3,0,retain; refactor by domain after tests
backend/src/modules/analytics/domain,product-or-platform,2,5315,2,0,retain; refactor by domain after tests
backend/src/modules/analytics/infrastructure,product-or-platform,1,15470,1,0,retain; refactor by domain after tests
backend/src/modules/auth,product-or-platform,1,674,1,0,retain; refactor by domain after tests
backend/src/modules/auth/application,product-or-platform,4,38698,4,0,retain; refactor by domain after tests
backend/src/modules/auth/domain,product-or-platform,3,4031,3,0,retain; refactor by domain after tests
backend/src/modules/auth/infrastructure,product-or-platform,2,15032,2,0,retain; refactor by domain after tests
backend/src/modules/chatbot,product-or-platform,1,456,1,0,retain; refactor by domain after tests
backend/src/modules/chatbot/application,product-or-platform,1,3875,1,0,retain; refactor by domain after tests
backend/src/modules/chatbot/domain,product-or-platform,2,2210,2,0,retain; refactor by domain after tests
backend/src/modules/chatbot/infrastructure,product-or-platform,1,4651,1,0,retain; refactor by domain after tests
backend/src/modules/clients,product-or-platform,1,685,1,0,retain; refactor by domain after tests
backend/src/modules/clients/application,product-or-platform,3,2668,3,0,retain; refactor by domain after tests
backend/src/modules/clients/domain,product-or-platform,2,3293,2,0,retain; refactor by domain after tests
backend/src/modules/clients/infrastructure,product-or-platform,1,11237,1,0,retain; refactor by domain after tests
backend/src/modules/cobros,product-or-platform,1,578,1,0,retain; refactor by domain after tests
backend/src/modules/cobros/application,product-or-platform,2,2225,2,0,retain; refactor by domain after tests
backend/src/modules/cobros/domain,product-or-platform,2,3045,2,0,retain; refactor by domain after tests
backend/src/modules/cobros/infrastructure,product-or-platform,1,77582,1,0,retain; refactor by domain after tests
backend/src/modules/commissions,product-or-platform,1,610,1,0,retain; refactor by domain after tests
backend/src/modules/commissions/application,product-or-platform,2,2045,2,0,retain; refactor by domain after tests
backend/src/modules/commissions/domain,product-or-platform,2,2039,2,0,retain; refactor by domain after tests
backend/src/modules/commissions/infrastructure,product-or-platform,1,4015,1,0,retain; refactor by domain after tests
backend/src/modules/dashboard,product-or-platform,1,1393,1,0,retain; refactor by domain after tests
backend/src/modules/dashboard/application,product-or-platform,8,6857,8,0,retain; refactor by domain after tests
backend/src/modules/dashboard/domain,product-or-platform,2,4136,2,0,retain; refactor by domain after tests
backend/src/modules/dashboard/infrastructure,product-or-platform,1,10048,1,0,retain; refactor by domain after tests
backend/src/modules/entregas,product-or-platform,1,721,1,0,retain; refactor by domain after tests
backend/src/modules/entregas/application,product-or-platform,3,3046,3,0,retain; refactor by domain after tests
backend/src/modules/entregas/domain,product-or-platform,2,3389,2,0,retain; refactor by domain after tests
backend/src/modules/entregas/infrastructure,product-or-platform,1,4994,1,0,retain; refactor by domain after tests
backend/src/modules/export,product-or-platform,1,552,1,0,retain; refactor by domain after tests
backend/src/modules/export/application,product-or-platform,2,1715,2,0,retain; refactor by domain after tests
backend/src/modules/export/domain,product-or-platform,2,2596,2,0,retain; refactor by domain after tests
backend/src/modules/export/infrastructure,product-or-platform,1,4575,1,0,retain; refactor by domain after tests
backend/src/modules/facturas,product-or-platform,1,686,1,0,retain; refactor by domain after tests
backend/src/modules/facturas/application,product-or-platform,3,4892,3,0,retain; refactor by domain after tests
backend/src/modules/facturas/domain,product-or-platform,2,2639,2,0,retain; refactor by domain after tests
backend/src/modules/facturas/infrastructure,product-or-platform,1,10571,1,0,retain; refactor by domain after tests
backend/src/modules/filters,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/src/modules/filters/application,product-or-platform,1,1612,1,0,retain; refactor by domain after tests
backend/src/modules/filters/domain,product-or-platform,2,1546,2,0,retain; refactor by domain after tests
backend/src/modules/filters/infrastructure,product-or-platform,1,3419,1,0,retain; refactor by domain after tests
backend/src/modules/kpi-alerts,product-or-platform,1,580,1,0,retain; refactor by domain after tests
backend/src/modules/kpi-alerts/application,product-or-platform,2,2267,2,0,retain; refactor by domain after tests
backend/src/modules/kpi-alerts/domain,product-or-platform,2,2018,2,0,retain; refactor by domain after tests
backend/src/modules/kpi-alerts/infrastructure,product-or-platform,1,7142,1,0,retain; refactor by domain after tests
backend/src/modules/master,product-or-platform,1,450,1,0,retain; refactor by domain after tests
backend/src/modules/master/application,product-or-platform,1,1416,1,0,retain; refactor by domain after tests
backend/src/modules/master/domain,product-or-platform,2,1909,2,0,retain; refactor by domain after tests
backend/src/modules/master/infrastructure,product-or-platform,1,4401,1,0,retain; refactor by domain after tests
backend/src/modules/objectives,product-or-platform,1,753,1,0,retain; refactor by domain after tests
backend/src/modules/objectives/application,product-or-platform,3,2535,3,0,retain; refactor by domain after tests
backend/src/modules/objectives/domain,product-or-platform,2,2721,2,0,retain; refactor by domain after tests
backend/src/modules/objectives/infrastructure,product-or-platform,1,5950,1,0,retain; refactor by domain after tests
backend/src/modules/pedidos,product-or-platform,1,1085,1,0,retain; refactor by domain after tests
backend/src/modules/pedidos/application,product-or-platform,6,6251,6,0,retain; refactor by domain after tests
backend/src/modules/pedidos/domain,product-or-platform,2,4122,2,0,retain; refactor by domain after tests
backend/src/modules/pedidos/infrastructure,product-or-platform,1,6264,1,0,retain; refactor by domain after tests
backend/src/modules/planner,product-or-platform,1,535,1,0,retain; refactor by domain after tests
backend/src/modules/planner/application,product-or-platform,2,2391,2,0,retain; refactor by domain after tests
backend/src/modules/planner/domain,product-or-platform,3,4503,3,0,retain; refactor by domain after tests
backend/src/modules/planner/infrastructure,product-or-platform,1,5337,1,0,retain; refactor by domain after tests
backend/src/modules/repartidor,product-or-platform,1,991,1,0,retain; refactor by domain after tests
backend/src/modules/repartidor/application,product-or-platform,5,4739,5,0,retain; refactor by domain after tests
backend/src/modules/repartidor/domain,product-or-platform,2,2972,2,0,retain; refactor by domain after tests
backend/src/modules/repartidor/infrastructure,product-or-platform,1,9409,1,0,retain; refactor by domain after tests
backend/src/modules/rutero,product-or-platform,1,700,1,0,retain; refactor by domain after tests
backend/src/modules/rutero/application,product-or-platform,3,2830,3,0,retain; refactor by domain after tests
backend/src/modules/rutero/domain,product-or-platform,2,2257,2,0,retain; refactor by domain after tests
backend/src/modules/rutero/infrastructure,product-or-platform,1,4723,1,0,retain; refactor by domain after tests
backend/src/modules/warehouse,product-or-platform,1,827,1,0,retain; refactor by domain after tests
backend/src/modules/warehouse/application,product-or-platform,4,3151,4,0,retain; refactor by domain after tests
backend/src/modules/warehouse/domain,product-or-platform,2,2909,2,0,retain; refactor by domain after tests
backend/src/modules/warehouse/infrastructure,product-or-platform,1,5056,1,0,retain; refactor by domain after tests
backend/src/repositories,product-or-platform,3,10837,3,0,retain; refactor by domain after tests
backend/src/routes,product-or-platform,22,52537,22,0,retain; refactor by domain after tests
backend/src/scripts,product-or-platform,1,4514,1,0,retain; refactor by domain after tests
backend/src/services,product-or-platform,18,295852,18,0,retain; refactor by domain after tests
backend/src/shared,product-or-platform,0,0,0,0,retain; refactor by domain after tests
backend/src/shared/middleware,product-or-platform,1,1473,1,0,retain; refactor by domain after tests
backend/src/shared/routes,product-or-platform,1,147134,1,0,retain; refactor by domain after tests
backend/src/types,product-or-platform,4,12431,4,0,retain; refactor by domain after tests
backend/src/utils,product-or-platform,8,57433,8,0,retain; refactor by domain after tests
backend/src/validators,product-or-platform,2,12374,2,0,retain; refactor by domain after tests
backend/src/__tests__,product-or-platform,10,128552,10,0,retain; refactor by domain after tests
backend/src/__tests__/integration,product-or-platform,1,9728,1,0,retain; refactor by domain after tests
backend/src/__tests__/performance,product-or-platform,1,7431,1,0,retain; refactor by domain after tests
backend/src/__tests__/resilience,product-or-platform,1,7878,1,0,retain; refactor by domain after tests
backend/src/__tests__/security,product-or-platform,1,10110,1,0,retain; refactor by domain after tests
backend/telemetry,product-or-platform,2,6759,2,0,retain; refactor by domain after tests
backend/tests,product-or-platform,12,38907,12,0,retain; refactor by domain after tests
backend/tests/controllers,product-or-platform,1,5278,1,0,retain; refactor by domain after tests
backend/tests/middlewares,product-or-platform,1,6279,1,0,retain; refactor by domain after tests
backend/tests/repositories,product-or-platform,3,19495,3,0,retain; refactor by domain after tests
backend/tests/routes,product-or-platform,2,12827,2,0,retain; refactor by domain after tests
backend/tests/security,product-or-platform,2,7172,2,0,retain; refactor by domain after tests
backend/tests/services,product-or-platform,4,21133,4,0,retain; refactor by domain after tests
backend/utils,product-or-platform,12,87863,12,0,retain; refactor by domain after tests
backend/__tests__,product-or-platform,224,2008880,224,0,retain; refactor by domain after tests
backend/__tests__/middleware,product-or-platform,2,33097,2,0,retain; refactor by domain after tests
db,product-or-platform,0,0,0,0,retain; refactor by domain after tests
db/migrations,product-or-platform,2,1567,2,0,retain; refactor by domain after tests
docs,documentation,30,239263,29,0,classify current versus historical; preserve evidence
docs/adr,documentation,14,32280,14,0,classify current versus historical; preserve evidence
docs/archive,documentation,1,4099,1,0,classify current versus historical; preserve evidence
docs/archive/architecture,documentation,9,160800,3,0,classify current versus historical; preserve evidence
docs/archive/audits,documentation,6,31225,6,0,classify current versus historical; preserve evidence
docs/archive/audits/db2-discovery,documentation,10,920338,10,0,classify current versus historical; preserve evidence
docs/archive/audits/scripts,documentation,2,38536,2,0,classify current versus historical; preserve evidence
docs/archive/changelogs,documentation,3,118601,3,0,classify current versus historical; preserve evidence
docs/artifacts,documentation,1,3547,1,0,classify current versus historical; preserve evidence
docs/audit,documentation,1,6105,1,0,classify current versus historical; preserve evidence
docs/audits,documentation,3,14144,3,0,classify current versus historical; preserve evidence
docs/audits/2026-09-14-optimization-audit,documentation,5,31559,5,0,classify current versus historical; preserve evidence
docs/audits/2026-09-17-reparto-almacen-opt,documentation,5,27906,5,0,classify current versus historical; preserve evidence
docs/audits/preprod-2026-06-11,documentation,7,421872,7,0,classify current versus historical; preserve evidence
docs/ci,documentation,1,4866,1,0,classify current versus historical; preserve evidence
docs/crm,documentation,3,862,3,0,classify current versus historical; preserve evidence
docs/design,documentation,1,374,1,0,classify current versus historical; preserve evidence
docs/equipo-agentico,documentation,20,39592,20,0,classify current versus historical; preserve evidence
docs/openapi,documentation,1,701311,1,0,classify current versus historical; preserve evidence
docs/opencode-agent-governance,documentation,7,14233,7,0,classify current versus historical; preserve evidence
docs/opencode-agent-governance/canon,documentation,5,8208,5,0,classify current versus historical; preserve evidence
docs/opencode-agent-governance/evals,documentation,4,7290,3,0,classify current versus historical; preserve evidence
docs/perf,documentation,14,17684,14,0,classify current versus historical; preserve evidence
docs/postman,documentation,1,293317,1,0,classify current versus historical; preserve evidence
docs/quality-baseline,documentation,15,12245762,15,0,classify current versus historical; preserve evidence
docs/releases,documentation,3,70471,3,0,classify current versus historical; preserve evidence
docs/runbooks,documentation,8,10038,8,0,classify current versus historical; preserve evidence
docs/spec,documentation,6,10133,6,0,classify current versus historical; preserve evidence
docs/superpowers,documentation,0,0,0,0,classify current versus historical; preserve evidence
docs/superpowers/specs,documentation,2,21006,2,0,classify current versus historical; preserve evidence
handoffs,documentation,2,1908,2,0,classify current versus historical; preserve evidence
integration_test,test,2,12322,2,0,retain; classify test level
integration_test/helpers,test,1,6565,1,0,retain; classify test level
ios,product-or-platform,1,603,1,0,retain; refactor by domain after tests
ios/Flutter,product-or-platform,5,1912,3,0,retain; refactor by domain after tests
ios/Runner,product-or-platform,5,9776,3,0,retain; refactor by domain after tests
ios/Runner/Assets.xcassets,product-or-platform,0,0,0,0,retain; refactor by domain after tests
ios/Runner/Assets.xcassets/AppIcon.appiconset,product-or-platform,22,278080,22,0,retain; refactor by domain after tests
ios/Runner/Assets.xcassets/LaunchImage.imageset,product-or-platform,5,958,5,0,retain; refactor by domain after tests
ios/Runner/Base.lproj,product-or-platform,2,4045,2,0,retain; refactor by domain after tests
ios/Runner.xcodeproj,product-or-platform,1,24320,1,0,retain; refactor by domain after tests
ios/Runner.xcodeproj/project.xcworkspace,product-or-platform,1,142,1,0,retain; refactor by domain after tests
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata,product-or-platform,2,480,2,0,retain; refactor by domain after tests
ios/Runner.xcodeproj/xcshareddata,product-or-platform,0,0,0,0,retain; refactor by domain after tests
ios/Runner.xcodeproj/xcshareddata/xcschemes,product-or-platform,1,3934,1,0,retain; refactor by domain after tests
ios/Runner.xcworkspace,product-or-platform,1,159,1,0,retain; refactor by domain after tests
ios/Runner.xcworkspace/xcshareddata,product-or-platform,2,480,2,0,retain; refactor by domain after tests
ios/RunnerTests,product-or-platform,1,297,1,0,retain; refactor by domain after tests
lib,product-or-platform,1,15080,1,0,retain; refactor by domain after tests
lib/core,product-or-platform,0,0,0,0,retain; refactor by domain after tests
lib/core/api,product-or-platform,4,62204,4,0,retain; refactor by domain after tests
